lemma,pos1,anxiety
standard,n,-0.3863255592
passage,n,-0.3860213411
endorse,v,-0.3858283308
accept,v,-0.3858113958
program,n,-0.3857324258
wholesome,a,-0.3857259983
sound,n,-0.3851943581
grant,v,-0.3850535692
provision,n,-0.3850525488
guideline,n,-0.3848553229
adhere,v,-0.3848468855
embrace,v,-0.3847245439
consultation,n,-0.3841485481
suitable,a,-0.3835912837
clarity,n,-0.3835737839
addition,n,-0.383532234
continuation,n,-0.3833031963
enrich,v,-0.3829501767
continue,v,-0.3829262024
modest,a,-0.3823997169
offer,n,-0.3819121678
act,v,-0.3818133107
targeted,a,-0.3816727404
forward-looking,a,-0.3812454252
cooperate,v,-0.3812172231
original,a,-0.3810145926
requirement,n,-0.3808030284
can,m,-0.3807042276
apology,n,-0.3806403464
dialogue,n,-0.3795305557
key,n,-0.3794968818
compromise,n,-0.3791145834
basic,a,-0.3787865669
cfium,n,-0.3784350991
efficiency,n,-0.3783982283
budget,n,-0.377675586
justice,n,-0.3773285591
truly,r,-0.3772356838
territory,n,-0.3772346823
oversee,v,-0.3770506969
share,v,-0.3769401055
regulatory,a,-0.3767397893
rigorous,a,-0.3765885976
confirmation,n,-0.3764954701
assist,v,-0.3764720412
restoration,n,-0.3762065753
shared,a,-0.3762021929
believe,v,-0.376052804
reflect,v,-0.3753604938
word,n,-0.3747092909
far-sighted,a,-0.3726367344
receive,v,-0.3724387178
year-round,a,-0.3723205897
utilize,v,-0.3723203464
apply,v,-0.3720522627
coherent,a,-0.3707941833
propose,v,-0.3704897392
ratification,n,-0.3701169044
self-reliance,n,-0.3699286494
stand,v,-0.369220974
basis,n,-0.3692204961
constructive,a,-0.3690890755
information,n,-0.3689160146
self-sufficient,a,-0.3687259551
value,n,-0.3685709671
work,v,-0.3681222163
delighted,a,-0.3660963623
encouragement,n,-0.3654756536
ideal,n,-0.3652989845
institute,v,-0.3649902962
recommit,v,-0.3645404725
preservation,n,-0.3640336907
statutory,a,-0.3639687797
conclusion,n,-0.3639610185
logical,a,-0.3639123778
emphasize,v,-0.3633844073
no,r,-0.3632757998
supply,v,-0.363257543
balance,n,-0.3625120398
revise,v,-0.3623516094
reinstate,v,-0.3620635986
make,v,-0.3619874315
firmly,r,-0.3618932946
comfortable,a,-0.3607682275
pass,v,-0.3603000335
seconder,n,-0.3601914255
approval,n,-0.3600361956
reference,n,-0.3600259305
criterion,n,-0.3599817811
charter,n,-0.3595337335
measure,v,-0.3594570709
unhindered,a,-0.3593329511
resolution,n,-0.3593235981
visionary,a,-0.3591392699
balance,v,-0.3589645358
enact,v,-0.3586826697
invest,v,-0.3582886775
update,v,-0.3581956204
uniform,a,-0.3577390831
world-class,a,-0.3566934273
summon,v,-0.3566057175
pursue,v,-0.3563841141
only,a,-0.3563827863
new,a,-0.3562749787
follow-up,n,-0.3561535063
predictability,n,-0.3561142489
desirable,a,-0.355950878
once,r,-0.3558138413
attest,v,-0.3554822034
appoint,v,-0.3549648517
administer,v,-0.354866114
check,n,-0.3546396541
wholeheartedly,r,-0.3543752722
finalize,v,-0.3543601869
adopt,v,-0.3543323372
self-sufficiency,n,-0.3541186024
duty-free,a,-0.3539749571
smooth,a,-0.3535014207
match,v,-0.3534760363
welcome,a,-0.353416753
concrete,n,-0.3530799084
statute,n,-0.3530757469
align,v,-0.3530211054
collaborative,a,-0.3528919932
request,n,-0.3528451782
order,n,-0.3525558425
important,a,-0.3524124415
prepare,v,-0.351840864
focused,a,-0.3516485922
fail,v,-0.3514839879
smoke-free,a,-0.3513159921
aim,n,-0.3511064445
contain,v,-0.3506691611
rebate,n,-0.3504862012
freer,a,-0.3502729769
unified,a,-0.349933612
infrastructure,n,-0.3496905221
inspire,v,-0.3494787457
always,r,-0.3493574622
enforcement,n,-0.349314523
competitive,a,-0.3491180103
follow,v,-0.3491006504
pride,n,-0.3490992741
thorough,a,-0.3489470201
appreciate,v,-0.3486501045
non-partisan,a,-0.3485968527
proceed,v,-0.3485388039
only,r,-0.3485311534
legislation,n,-0.3484796823
better,r,-0.3477093874
formulum,n,-0.3474728511
sblum,n,-0.3474727695
conservation,n,-0.3474285641
building,n,-0.346792801
telefilm,n,-0.3466367951
substantive,a,-0.3465985932
practical,a,-0.346588026
competent,a,-0.3464280839
governance,n,-0.34629614
traceability,n,-0.3461432359
vision,n,-0.3459495362
wonderful,a,-0.3454457879
everyone,n,-0.3454204572
guarantor,n,-0.3453816834
courteous,a,-0.3453174607
law,n,-0.3451211392
convenient,a,-0.3447684296
harmony,n,-0.3447182996
process,n,-0.3447007218
base,v,-0.3444052739
remedy,n,-0.3439706706
design,v,-0.3437530922
index,v,-0.3436256273
long-term,a,-0.3435875201
seamless,a,-0.3435386668
unanimously,r,-0.3430934939
contribution,n,-0.342814166
accuracy,n,-0.3426695744
gst-hst,n,-0.3423428267
swear,v,-0.3420378695
verification,n,-0.3419055508
generosity,n,-0.3415630739
empower,v,-0.3414967749
nice,a,-0.3411873731
renewable,a,-0.3411789354
consensus,n,-0.341017256
rightful,a,-0.3409443446
neutral,a,-0.3399063912
exemption,n,-0.3397587229
stewardship,n,-0.3397330315
clear,a,-0.3395141474
comfort,n,-0.3394595652
correct,a,-0.3391873544
decency,n,-0.339174503
instrument,n,-0.3391596026
happy,a,-0.3389319733
act,n,-0.3388818132
unfailing,a,-0.3382320414
set,v,-0.3382286055
cai,n,-0.3382269996
rely,v,-0.338141754
stipulate,v,-0.3380204741
earn,v,-0.3379181197
fact-based,a,-0.3376484527
whistleblower,n,-0.3375532824
solution,n,-0.3366668715
share,n,-0.3365308947
collaboratively,r,-0.3364689835
fund,v,-0.3362003992
screening,n,-0.3361524015
realization,n,-0.3358980796
independently,r,-0.3358731353
develop,v,-0.3357148251
successful,a,-0.3357042175
self-government,n,-0.335104911
representation,n,-0.334962123
advance,v,-0.3348791702
procedure,n,-0.3347778525
collective,a,-0.3345795968
role,n,-0.3345341513
whole-heartedly,r,-0.3344548324
binding,n,-0.334299228
furthermore,r,-0.3336040193
supposedly,r,-0.3334913797
commend,v,-0.3334148692
clarification,n,-0.3333099229
parliamentary,a,-0.3332709759
way,n,-0.3330070599
should,m,-0.33298836
option,n,-0.3329126887
stimulus,n,-0.3328279845
proud,a,-0.3327993901
unwavering,a,-0.3325273042
impartially,r,-0.3324847221
please,v,-0.3313614851
heritage,n,-0.3312275925
incremental,a,-0.3310201478
minister,n,-0.3308322973
excellence,n,-0.330669467
reciprocal,a,-0.330640926
non-discriminatory,a,-0.3304066859
loan,n,-0.3303582133
celebrate,v,-0.3302922619
wish,n,-0.3301386092
additional,a,-0.3298459681
will,n,-0.3298204327
certainly,r,-0.3296423936
lack,v,-0.3293614346
crucial,a,-0.3292812628
income,n,-0.3286911899
equity,n,-0.328641231
lofty,a,-0.3281671719
special,a,-0.3281478807
reinforcement,n,-0.3278177106
state,v,-0.3277370809
innovation,n,-0.3276067539
prudent,a,-0.3275768122
conjunction,n,-0.3270391849
priority,n,-0.32691585
assistance,n,-0.3263167358
negotiate,v,-0.3260202291
friendly,a,-0.3258916456
disclosure,n,-0.3256312929
fast-track,a,-0.3255621974
formulate,v,-0.3253840954
outline,v,-0.3253295949
promising,a,-0.325283181
applaud,v,-0.3245799819
progressive,a,-0.3243836369
compensation,n,-0.3240726617
indispensable,a,-0.3239236194
reply,n,-0.3238106798
stand-alone,a,-0.3231809578
tax-free,a,-0.3231785651
satisfaction,n,-0.3231541202
allocate,v,-0.3231165536
audit,v,-0.3230600165
inspection,n,-0.3225349274
value,v,-0.3223524926
restock,v,-0.3218693325
enhancement,n,-0.3217964484
recovery,n,-0.3217499798
strengthened,a,-0.3209393513
speech,n,-0.3209188207
qualified,a,-0.3205933793
submit,v,-0.3205144246
impeccable,a,-0.3205027224
demonstrate,v,-0.3204015348
permit,v,-0.3203590589
useful,a,-0.3200956995
regime,n,-0.319895617
include,v,-0.3195972219
interim,n,-0.3189219668
truthfulness,n,-0.3189218125
secretary,n,-0.3187903447
willing,a,-0.3186806764
secretariat,n,-0.3184660715
neither,r,-0.3182706419
unambiguous,a,-0.3181163522
independence,n,-0.317988919
continued,a,-0.3178418267
acknowledge,v,-0.3175390219
enjoyable,a,-0.3173773984
desire,n,-0.3173538488
modern,a,-0.3172858301
desire,v,-0.3166897085
expressly,r,-0.3165930983
urge,v,-0.3163018587
progress,n,-0.3161244414
chamber,n,-0.3160779349
grant,n,-0.3160026466
extend,v,-0.3157191103
wise,a,-0.3153802519
overall,r,-0.3153629342
decisive,a,-0.3153107235
legislate,v,-0.3151865923
never,r,-0.3150493532
voice,n,-0.3149687002
oversight,n,-0.3146663126
forthright,a,-0.3141260909
stimulate,v,-0.3136470623
non-discrimination,a,-0.313625317
alternative,a,-0.3128326025
definitive,a,-0.3128143017
simpler,a,-0.3127537493
govern,v,-0.3127288759
demand,v,-0.3123135838
mark,n,-0.3122150798
unqualified,a,-0.3120692102
set,n,-0.3119098197
job-creating,a,-0.3118709392
congratulate,v,-0.3118183722
even-handed,a,-0.3117921689
tpc,n,-0.3116194107
wholehearted,a,-0.3112929552
draft,n,-0.3112544328
reopen,v,-0.3110343618
stay,v,-0.3108305542
purpose,n,-0.3107981447
stakeholder,n,-0.3104812318
sirc,n,-0.3104301572
vote,v,-0.3103488411
effort,n,-0.3102164208
consent,n,-0.3098613498
fulfillment,n,-0.309439045
maintenance,n,-0.3092729914
retirement,n,-0.3083780961
expedited,a,-0.3076800095
bipartisan,a,-0.3076492352
revenue,n,-0.3076318853
surety,n,-0.3074945349
administration,n,-0.3073323217
equalization,n,-0.3072816376
peace,n,-0.3069125681
least,a,-0.3066332294
outstanding,a,-0.3062264755
utmost,a,-0.3062171968
yes,u,-0.3062068039
orderly,a,-0.3059768777
candle,n,-0.305910562
prosper,v,-0.3057790607
accomplishment,n,-0.3054157119
service,n,-0.3049608444
acceptance,n,-0.3047250287
authoritative,a,-0.3045611869
nutritious,a,-0.3045179146
strictest,a,-0.3041846018
intention,n,-0.3041646342
anti-terrorism,a,-0.3039589036
goodwill,n,-0.3031497443
absolutely,r,-0.3030513521
acknowledgement,n,-0.3028926082
credentials,n,-0.3026948182
return,v,-0.3026439001
unfettered,a,-0.3023999666
enforce,v,-0.3022841395
yukoner,n,-0.3020439102
liberal,a,-0.3020013433
gather,v,-0.3019745871
relief,n,-0.3019290978
adoption,n,-0.30182892
top-up,n,-0.3018057994
approach,n,-0.3017401245
humane,n,-0.3017306625
recognize,v,-0.3010637121
traditional,a,-0.3008750077
select,v,-0.3008441215
colleague,n,-0.3004600381
steady,a,-0.3002524053
right,n,-0.300192479
valuable,a,-0.3000072284
securely,r,-0.2990477189
settlement,n,-0.2990043202
henceforth,n,-0.298942232
expeditiously,r,-0.2986084527
affirmation,n,-0.2984642069
supply,n,-0.2983305744
supplement,n,-0.2981597754
rebuild,v,-0.298077278
explanation,n,-0.2980110785
proof,n,-0.2978747739
open-mindedness,n,-0.2977593611
glad,a,-0.2977163411
internationally,r,-0.2975428272
completion,n,-0.2973400993
unequivocally,r,-0.2968330583
opposite,n,-0.2967448846
prompt,a,-0.296655595
retrofit,v,-0.2965456061
devolution,n,-0.2965289668
moreover,r,-0.2964795486
protected,a,-0.2962830936
suggestion,n,-0.2956539509
protocol,n,-0.2954987399
privileged,a,-0.2954325909
creation,n,-0.2951025732
undertaking,n,-0.2949808661
fulfilment,n,-0.2939953096
plan,n,-0.2938108175
tenacity,n,-0.2936567756
self-governing,a,-0.2933753897
track,n,-0.293370757
enough,a,-0.2932808581
simple,a,-0.2925409548
sacred,a,-0.2924868289
partial,a,-0.2924122272
supplement,v,-0.292386292
expedite,v,-0.2920669306
grace,n,-0.2914882631
regulator,n,-0.2914497362
remind,v,-0.2913197293
reading,n,-0.2912747412
territorial,a,-0.2910659983
procurement,n,-0.2909355867
book,n,-0.2909317518
standing,n,-0.2909306237
alternative,n,-0.2906091681
arrange,v,-0.2905176304
fund,n,-0.2903261045
low-tax,n,-0.2899681767
would,m,-0.2899062888
right,a,-0.2898721245
evaluation,n,-0.2898705842
pragmatic,a,-0.2897264786
expression,n,-0.2897211028
federal,a,-0.2895723075
ethic,n,-0.2895637974
co-operatively,r,-0.2893223236
ultimate,a,-0.2891792003
preserved,a,-0.2887847703
text,n,-0.2887661643
collect,v,-0.2886300625
however,r,-0.2885523989
credible,a,-0.2885499781
subpoena,v,-0.2881461385
energy,n,-0.287688201
informed,a,-0.2876048353
tax,n,-0.2874091132
chance,n,-0.2871988337
private,a,-0.2871796158
soon,r,-0.2870721355
initiate,v,-0.2870197265
tirelessly,r,-0.2869554411
equivalent,a,-0.2869207458
quest,n,-0.2866797428
specific,a,-0.2866036925
green,a,-0.286138215
swift,a,-0.2860842158
determine,v,-0.2859929539
witness,n,-0.2857608612
coordinate,v,-0.2856128532
aspiration,n,-0.2855318683
imperative,a,-0.2853608348
amend,v,-0.2852099854
courageous,a,-0.2851320485
commissioner,n,-0.2850603083
fit,a,-0.285032383
move,v,-0.2849630045
presentation,n,-0.2848288128
importance,n,-0.2848089874
properly,r,-0.2847983334
let,v,-0.284534057
ruling,n,-0.2841144737
banking,n,-0.2840827454
charter,a,-0.2839787284
freedom,n,-0.2839205595
publicly,r,-0.2838580926
ratify,v,-0.2834916485
incorporated,a,-0.2834836403
translation,n,-0.2829574942
transportation,n,-0.282674442
approved,a,-0.2822504873
concise,a,-0.2822215725
businesslike,a,-0.281989491
commit,v,-0.2819354948
want,v,-0.2819107557
financing,n,-0.281805478
bind,v,-0.2815691768
taxable,a,-0.2814702205
acceptable,a,-0.2813984326
consultative,a,-0.2811228748
brighter,a,-0.2810930517
ambitious,a,-0.2807068388
direction,n,-0.2806215741
derive,v,-0.2806189218
refuelling,n,-0.2804501213
lb,n,-0.2803781001
forge,v,-0.2801298245
soundness,n,-0.2800451634
motion,n,-0.2799668409
mean,v,-0.2799058706
first,a,-0.2793493056
not,r,-0.2792802674
leadership,n,-0.2792670443
helpful,a,-0.2792370842
serve,v,-0.279111232
confidential,a,-0.278760666
hon.,n,-0.2786423726
range,n,-0.2785825707
also,r,-0.2785222021
therefore,r,-0.278167915
warmth,n,-0.2781455889
proviso,n,-0.2781409905
account,n,-0.2780355544
convention,n,-0.2780092855
undivided,a,-0.2776893091
co-operative,n,-0.277483926
repayable,a,-0.2774703075
agency,n,-0.2773385921
initiative,v,-0.2771526771
courtesy,n,-0.2769797051
proposal,n,-0.2769558577
replace,v,-0.2768982462
quick,a,-0.2765927192
scrap,v,-0.2763926196
torch,n,-0.2763570711
nisa,n,-0.2761385744
nation-to-nation,a,-0.2761103656
genuine,a,-0.2757732551
parity,n,-0.2754125959
before,r,-0.2751180361
beneficial,a,-0.2750272155
simplify,v,-0.274852987
employment,n,-0.2747189492
overhaul,v,-0.2746734438
credential,n,-0.2744327245
bin,n,-0.2741454488
declaration,n,-0.2739588284
intervenor,n,-0.2739561678
attainable,a,-0.2739337635
therefor,r,-0.2738696999
humanitarianism,n,-0.2737182948
exactly,r,-0.2735801031
testimony,n,-0.2732074789
disarmament,n,-0.2730634288
back,v,-0.272914074
paragraph,n,-0.2728851874
fuller,a,-0.2726175245
course,n,-0.272395327
aeronautics,n,-0.2722248585
semblance,n,-0.2720611887
corroborate,v,-0.2719906647
cherish,v,-0.2718652589
shred,n,-0.2718590089
redress,n,-0.2715803193
fundamental,a,-0.2715407882
decently,r,-0.27152622
needed,a,-0.2714048634
repeal,v,-0.2713325107
custom,n,-0.2711795284
non-partisanship,n,-0.2710607907
auditing,n,-0.2710424563
solidarity,n,-0.2710189558
compensatory,a,-0.2709677347
renewable,n,-0.2707438718
appropriation,n,-0.2707417608
annual,a,-0.2706717137
broadest,a,-0.270580079
fruitful,a,-0.2704831463
apprentice,n,-0.2704653502
evidence,n,-0.2699249854
hold,v,-0.2698521815
past,n,-0.269580816
consolidate,v,-0.2694681699
greater,a,-0.2692793891
international,a,-0.2692585843
broad,a,-0.2691432446
modernized,a,-0.269040161
aim,v,-0.2688576515
well-established,a,-0.2686989023
firmness,n,-0.2686353856
same,a,-0.2685371656
immigration,n,-0.2683975735
vigour,n,-0.2683459733
expand,v,-0.2682587987
r,n,-0.2681586054
dedicate,v,-0.2679915396
bilingual,a,-0.2679879989
produce,v,-0.2678941338
meal,n,-0.2678810421
strengthening,n,-0.2673634536
everything,n,-0.2672160074
forth,r,-0.2667693084
certificate,n,-0.2665052818
entirely,r,-0.2662785374
benefit,n,-0.2658587054
longer,r,-0.2657431182
predecessor,n,-0.2657105488
dynamic,a,-0.2656424575
liveable,a,-0.2656199481
renewal,n,-0.2655604859
examination,n,-0.2655519813
firmer,a,-0.2655439842
constitutional,a,-0.2653118687
accounting,n,-0.26512575
dream,n,-0.2649922919
empty,a,-0.2648870026
refuse,v,-0.2648352464
conservative,a,-0.2644812325
slate,n,-0.2641472625
relay,n,-0.264076279
documentation,n,-0.2638967424
tally,n,-0.2638293677
accreditation,n,-0.2636986308
affidavit,n,-0.2635806531
self-assessment,n,-0.2635498737
reconfirm,v,-0.2635336207
record,n,-0.2634431075
holder,n,-0.2634272033
co-operative,a,-0.2633750369
finance,n,-0.2633446346
regulation,n,-0.26315468
collaborate,v,-0.2629970979
stride,n,-0.2625759493
inexpensive,a,-0.2625711893
enactment,n,-0.2625112846
guide,n,-0.2623493738
boost,v,-0.2622266803
wish,v,-0.2621939476
operate,v,-0.2618927128
verifiable,a,-0.2618629388
appointment,n,-0.2618479902
dedicated,a,-0.2618264813
responsible,a,-0.2613489906
environmentally,r,-0.2610015584
method,n,-0.2609802957
receipt,n,-0.2608497999
capacity,n,-0.2608295153
roadmap,n,-0.2607518684
performance,n,-0.2606769715
credit,n,-0.2605923777
petroleum,n,-0.2605525977
non-proliferation,n,-0.2604181042
concert,n,-0.2602913374
examine,v,-0.2602742329
inclusion,n,-0.2600143531
fine-tune,v,-0.2599080545
senator,n,-0.2598503715
term,n,-0.259336991
reach,v,-0.2592414199
creative,a,-0.2591812314
cleaner,a,-0.2590151735
estimate,n,-0.2589658953
broad-based,a,-0.2588944077
possible,a,-0.2588306577
work,n,-0.2587635263
enlighten,v,-0.2587335497
expanded,a,-0.2587031813
parliamentarian,n,-0.2585920423
pleased,a,-0.2585018462
